วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-06,หนองบัวลำภู,0
2024-01-06,หนองคาย,0
2024-01-06,สุโขทัย,0
2024-01-06,สุรินทร์,0
2024-01-06,สุราษฎร์ธานี,0
2024-01-06,สุพรรณบุรี,1
2024-01-06,สิงห์บุรี,0
2024-01-06,ลำพูน,0
2024-01-06,สระบุรี,2
2024-01-06,สมุทรสาคร,1
2024-01-06,สมุทรปราการ,1
2024-01-06,สตูล,0
2024-01-06,สงขลา,1
2024-01-06,สกลนคร,0
2024-01-06,ศรีสะเกษ,0
2024-01-06,อยุธยา,0
2024-01-06,สระแก้ว,2
2024-01-06,อำนาจเจริญ,0
2024-01-06,เพชรบูรณ์,0
2024-01-06,อุตรดิตถ์,0
2024-01-06,ลำปาง,0
2024-01-06,พังงา,1
2024-01-06,สมุทรสงคราม,0
2024-01-06,ระนอง,0
2024-01-06,ยะลา,0
2024-01-06,นราธิวาส,0
2024-01-06,ชัยภูมิ,0
2024-01-06,อุดรธานี,2
2024-01-06,แม่ฮ่องสอน,0
2024-01-06,เลย,0
2024-01-06,เพชรบุรี,0
2024-01-06,เชียงใหม่,0
2024-01-06,เชียงราย,3
2024-01-06,อ่างทอง,1
2024-01-06,อุบลราชธานี,1
2024-01-06,อุทัยธานี,1
2024-01-06,แพร่,0
2024-01-06,ลพบุรี,1
2024-01-06,ร้อยเอ็ด,0
2024-01-06,ราชบุรี,0
2024-01-06,นครพนม,0
2024-01-06,นครปฐม,0
2024-01-06,นครนายก,0
2024-01-06,ตาก,2
2024-01-06,ตราด,0
2024-01-06,ตรัง,0
2024-01-06,ชุมพร,0
2024-01-06,นครราชสีมา,6
2024-01-06,ชัยนาท,0
2024-01-06,ฉะเชิงเทรา,2
2024-01-06,จันทบุรี,3
2024-01-06,ขอนแก่น,0
2024-01-06,กำแพงเพชร,0
2024-01-06,กาฬสินธุ์,1
2024-01-06,กาญจนบุรี,0
2024-01-06,กรุงเทพมหานคร,8
2024-01-06,ชลบุรี,3
2024-01-06,นครศรีธรรมราช,1
2024-01-06,กระบี่,1
2024-01-06,นนทบุรี,0
2024-01-06,ระยอง,1
2024-01-06,ยโสธร,1
2024-01-06,มุกดาหาร,1
2024-01-06,มหาสารคาม,1
2024-01-06,นครสวรรค์,2
2024-01-06,พิษณุโลก,0
2024-01-06,พิจิตร,0
2024-01-06,พัทลุง,2
2024-01-06,ภูเก็ต,0
2024-01-06,ปัตตานี,0
2024-01-06,ปราจีนบุรี,1
2024-01-06,ประจวบคีรีขันธ์,1
2024-01-06,ปทุมธานี,1
2024-01-06,บุรีรัมย์,0
2024-01-06,บึงกาฬ,1
2024-01-06,น่าน,0
2024-01-06,พะเยา,0
